Designator,Footprint,Quantity,Value,LCSC Part #
"D1, D13, D2, D3, D4",LED_D3.0mm,5,LED,
"D10, D11, D12, D14, D15, D16, D17, D18, D19, D20, D21, D5, D6, D7, D8, D9",D_DO-41_SOD81_P7.62mm_Horizontal,16,1N4004,
F1,2920,1,0ZCF0100AF2A,
"F10, F11, F12, F13, F14, F15, F16, F17, F2, F3, F4, F5, F6, F7, F8, F9",Fuse_Bourns_MF-RG300,16,0ZRP0065FF1E,
"J1, J15",DSUB-37_Pins_Vertical_P2.77x2.84mm_MountingHoles,2,NI9205CONN,
"J10, J14, J18, J21, J24, J28, J4, J41, J45, J7",RHDR16W80P550X350_2X8_2870X850X1420P,10,GNDCONN,
"J11, J12, J19, J22, J25, J26, J30, J40, J44, J5, J8",RHDR16W80P550X350_2X8_2870X850X1420P,11,AICONN,
"J13, J17, J20, J23, J27, J3, J6, J9",RHDR16W80P550X350_2X8_2870X850X1420P,8,24VCONN,
"J16, J2, J32, J39, J43",CONN2_2601-1102_WAG,5,PWRCONN,
J29,DSUB-15_Pins_Vertical_P2.77x2.84mm_MountingHoles,1,NI9253CONN,
J31,RHDR16W80P550X350_2X8_2870X850X1420P,1,VSUPCONN,
J33,DSUB-37_Pins_Vertical_P2.77x2.84mm_MountingHoles,1,NI9237CONN,
J34,CONN6_2601-3106_WAG,1,LC0,
J35,CONN6_2601-3106_WAG,1,LC1,
J36,CONN6_2601-3106_WAG,1,LC2,
J37,CONN6_2601-3106_WAG,1,LC3,
"J38, J42",DSUB-25_Pins_Vertical_P2.77x2.84mm_MountingHoles,2,NI9485CONN,
J46,DSUB-9_Pins_Vertical_P2.77x2.84mm_MountingHoles,1,NI_9485A_D-SUB,
J47,DSUB-9_Pins_Vertical_P2.77x2.84mm_MountingHoles,1,NI_9485B_D-SUB,
"Q1, Q2, Q3, Q4, Q5",TO-220-3_Horizontal_TabDown,5,FQP27P06,
"R1, R13, R2, R3, R4",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,5,1.1k,
"R10, R11, R12, R14, R15, R16, R17, R18, R19, R20, R21, R5, R6, R7, R8, R9",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,16,100K,
"TP1, TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP18, TP19, TP2, TP20, TP21, TP22, TP23, TP24, TP25, TP26, TP27, TP28, TP29, TP3, TP30, TP31, TP32, TP33, TP34, TP35, TP36, TP37, TP38, TP39, TP4, TP40, TP41, TP42, TP43, TP44, TP45, TP46, TP47, TP48, TP49, TP5, TP50, TP51, TP52, TP53, TP54, TP55, TP56, TP57, TP58, TP59, TP6, TP60, TP61, TP62, TP63, TP64, TP65, TP66, TP67, TP68, TP69, TP7, TP70, TP71, TP72, TP73, TP74, TP75, TP76, TP77, TP78, TP79, TP8, TP80, TP81, TP82, TP83, TP84, TP85, TP86, TP87, TP88, TP89, TP9, TP90",TestPoint_THTPad_D2.0mm_Drill1.0mm,90,TestPoint,
