Designator,Mid X,Mid Y,Rotation,Layer
D1,85.69,-220.04,0.0,top
D10,119.65,-53.05,180.0,top
D11,119.65,-49.05,180.0,top
D12,119.65,-45.05,180.0,top
D13,74.8,-10.68,270.0,top
D14,119.9,-35.0,180.0,top
D15,119.9,-31.0,180.0,top
D16,119.9,-27.0,180.0,top
D17,119.9,-23.0,180.0,top
D18,119.9,-19.0,180.0,top
D19,119.9,-15.0,180.0,top
D2,85.69,-158.81,0.0,top
D20,119.9,-11.0,180.0,top
D21,119.9,-7.0,180.0,top
D3,71.285,-119.0,0.0,top
D4,74.75,-48.589999,270.0,top
D5,119.65,-73.05,180.0,top
D6,119.65,-69.05,180.0,top
D7,119.65,-65.05,180.0,top
D8,119.65,-61.05,180.0,top
D9,119.65,-57.05,180.0,top
F1,93.655,-125.83,0.0,top
F10,99.95,-33.5,0.0,top
F11,99.95,-29.25,0.0,top
F12,99.95,-25.0,0.0,top
F13,99.95,-20.75,0.0,top
F14,99.95,-16.5,0.0,top
F15,99.95,-12.135714,0.0,top
F16,99.95,-8.0,0.0,top
F17,99.95,-3.75,0.0,top
F2,99.7,-71.55,0.0,top
F3,99.7,-67.3,0.0,top
F4,99.7,-63.05,0.0,top
F5,99.7,-58.8,0.0,top
F6,99.7,-54.55,0.0,top
F7,99.7,-50.185714,0.0,top
F8,99.7,-46.05,0.0,top
F9,99.7,-41.8,0.0,top
J1,61.44,-258.05,180.0,top
J10,169.74,-218.62,0.0,top
J11,169.74,-251.64,0.0,top
J12,198.95,-251.64,0.0,top
J13,198.95,-228.78,0.0,top
J14,198.95,-218.62,0.0,top
J15,61.44,-197.09,180.0,top
J16,53.38,-166.85,270.0,top
J17,111.31,-167.43,0.0,top
J18,111.31,-157.27,0.0,top
J19,111.32,-190.68,0.0,top
J2,53.38,-227.81,270.0,top
J20,140.52,-167.43,0.0,top
J21,140.52,-157.27,0.0,top
J22,140.53,-190.68,0.0,top
J23,169.73,-167.43,0.0,top
J24,169.73,-157.27,0.0,top
J25,169.74,-190.68,0.0,top
J26,198.95,-190.68,0.0,top
J27,198.94,-167.43,0.0,top
J28,198.94,-157.27,0.0,top
J29,45.95,-141.4,180.0,top
J3,111.32,-228.78,0.0,top
J30,117.425,-137.53,0.0,top
J31,117.425,-126.1,0.0,top
J32,53.205,-127.09,270.0,top
J33,61.53,-99.19,180.0,top
J34,111.723329,-95.9,0.0,top
J35,141.098885,-95.9,0.0,top
J36,170.474442,-95.9,0.0,top
J37,199.849998,-95.9,0.0,top
J38,53.23,-68.0,180.0,top
J39,53.38,-54.66,270.0,top
J4,111.32,-218.62,0.0,top
J40,154.995001,-58.87,90.0,top
J41,164.975001,-58.87,90.0,top
J42,53.23,-30.33,180.0,top
J43,53.38,-16.99,270.0,top
J44,155.245001,-20.82,90.0,top
J45,165.225001,-20.82,90.0,top
J46,181.76,-65.58,90.0,top
J47,181.76,-26.21,90.0,top
J5,111.32,-251.64,0.0,top
J6,140.53,-228.78,0.0,top
J7,140.53,-218.62,0.0,top
J8,140.53,-251.64,0.0,top
J9,169.74,-228.78,0.0,top
Q1,76.785,-228.41,90.0,top
Q2,76.575,-166.93,90.0,top
Q3,74.48,-126.79,90.0,top
Q4,66.559999,-51.115,0.0,top
Q5,66.809999,-13.065,0.0,top
R1,90.93,-223.8,90.0,top
R10,108.15000016367925,-50.80000016367926,135.0,top
R11,108.10592316367925,-46.505923163679256,135.0,top
R12,108.15000016367925,-42.30000016367926,135.0,top
R13,74.8,-18.2,90.0,top
R14,108.40000016367925,-34.00000016367926,135.0,top
R15,108.40000016367925,-29.750000163679253,135.0,top
R16,108.40000016367925,-25.500000163679253,135.0,top
R17,108.40000016367925,-21.250000163679253,135.0,top
R18,108.40000016367925,-17.000000163679253,135.0,top
R19,108.40000016367925,-12.750000163679253,135.0,top
R2,90.78,-162.62,90.0,top
R20,108.40000016367925,-8.500000163679253,135.0,top
R21,108.40000016367925,-4.250000163679253,135.0,top
R3,79.015,-119.0,180.0,top
R4,74.75,-56.11,90.0,top
R5,108.15000016367925,-72.05000016367926,135.0,top
R6,108.15000016367925,-67.80000016367926,135.0,top
R7,108.15000016367925,-63.55000016367926,135.0,top
R8,108.15000016367925,-59.30000016367926,135.0,top
R9,108.15000016367925,-55.05000016367926,135.0,top
