Designator,Mid X,Mid Y,Rotation,Layer
A1,49.36,-50.77,270.0,top
A2,96.89,-50.77,90.0,top
D1,97.536,-79.756,180.0,top
J1,61.74,-35.94,0.0,top
J2,40.01,-35.94,0.0,top
J3,51.308,-77.87,180.0,top
J4,30.37,-76.172,270.0,top
J5,110.236,-80.264,0.0,top
J6,94.58,-35.94,0.0,top
J7,70.866,-77.87,0.0,top
K1,56.605,-64.792859,180.0,top
K2,39.06,-69.470001,0.0,top
K3,91.873,-71.373999,180.0,top
K4,78.486,-62.229999,180.0,top
K5,78.486,-66.85886,180.0,top
R2,40.71,-64.2,0.0,top
R3,90.932,-64.77,90.0,top
R4,93.726,-64.77,90.0,top
R5,104.648,-64.262,90.0,top
R6,88.392,-79.756,180.0,top
R7,83.566,-77.216,90.0,top
R8,78.74,-79.756,0.0,top
R9,60.479999,-61.73,180.0,top
RV1,114.808,-32.512,270.0,top
