Designator,Mid X,Mid Y,Rotation,Layer
D1,30.274076836320745,-53.685923163679256,45.0,top
D2,36.147779836320744,-53.68000016367926,45.0,top
D3,42.02148383632074,-53.68000016367926,45.0,top
D4,47.89518683632074,-53.68000016367926,45.0,top
D5,53.768889836320746,-53.68000016367926,45.0,top
D6,59.642592836320745,-53.68000016367926,45.0,top
D7,65.51629683632075,-53.68000016367926,45.0,top
D8,71.38999983632074,-53.68000016367926,45.0,top
J1,50.625,-32.87,180.0,bottom
J2,50.8,-72.66,0.0,top
J3,50.8,-82.82,0.0,top
R1,30.265922836320748,-44.19407716367926,45.0,top
R2,36.13962583632074,-44.19407716367926,45.0,top
R3,42.01332983632074,-44.19407716367926,45.0,top
R4,47.88703283632074,-44.19407716367926,45.0,top
R5,53.76073583632074,-44.19407716367926,45.0,top
R6,59.63443883632074,-44.19407716367926,45.0,top
R7,65.50814283632074,-44.19407716367926,45.0,top
R8,71.38184583632075,-44.19407716367926,45.0,top
