Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,4.7uF,
"D1, D2, D3",0805,3,LED,
D4,D_SOD-323,1,CUS10S30,
"H1, H2, H3, H4",MountingHole_3.2mm_M3_DIN965_Pad,4,MountingHole_Pad,
J1,SolderWire-0.75sqmm_1x02_P4.8mm_D1.25mm_OD2.3mm_Relief,1,Conn_01x02_Pin,
"J10, J11, J8, J9",CONN4_2601-1104_WAG,4,2601-1104,
J2,ADAMTECH_MTJ-88ARX1-FSM-LG,1,MTJ-88ARX1-FSM-LG,
J3,CONN2_2601-1102_WAG,1,2601-1102,
J4,PinSocket_1x08_P2.54mm_Vertical,1,PWR,
J5,CONN8_2601-1108_WAG,1,SIGNAL_OUT,
J6,PinSocket_1x08_P2.54mm_Vertical,1,GPIO/ESP_ADC OUT,
J7,PinSocket_1x08_P2.54mm_Vertical,1,ADC_IN,
"Q1, Q2, Q3, Q4",SOT-23-3,4,DMP3099L,
"R1, R2, R9",0805,3,505,
"R10, R5, R6",0805,3,10k,
"R3, R4",0805,2,51.1k,
R7,0805,1,100,
