Designator,Mid X,Mid Y,Rotation,Layer
C1,67.33,-24.43,0.0,top
D1,58.54,-22.487501,90.0,top
D2,73.24,-19.782499,270.0,top
D3,64.99,-7.62,180.0,top
D4,67.2525,-22.36,0.0,top
J10,63.670002,-90.13,0.0,top
J11,44.620002,-90.13,0.0,top
J2,45.72,-16.06,180.0,top
J3,17.82,-38.58,270.0,top
J4,60.959999,-27.94,270.0,top
J5,17.82,-59.240002,270.0,top
J6,80.01,-53.34,0.0,top
J7,27.94,-48.259999,180.0,top
J8,90.13,-44.279998,90.0,top
J9,90.13,-64.599998,90.0,top
Q1,62.76,-14.9975,180.0,top
Q2,61.2825,-18.86,90.0,top
Q3,62.74,-23.23,270.0,top
Q4,57.659999,-10.04,0.0,top
R1,58.54,-19.0075,270.0,top
R10,60.8,-10.33,270.0,top
R2,73.24,-23.2625,90.0,top
R3,64.05,-18.48,270.0,top
R4,56.56,-13.5425,270.0,top
R5,66.92,-18.85,0.0,top
R6,57.29,-16.26,0.0,top
R7,62.82,-10.33,90.0,top
R9,61.5125,-7.62,0.0,top
