Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C12, C15, C16",603,5,100nF,C24452
"C10, C13, C14, C20, C4",603,5,1uF,C59782
"C17, C2, C8",805,3,10uF,C3039694
"C18, C23, C24, C9",603,4,0.1uF,C24452
C19,1210,1,22uF,C55530
"C21, C22",603,2,10uF,C92487
C3,805,1,22uF,C602037
"C5, C6",805,2,1uF,C1712
C7,603,1,4.7uF,C107368
CR1,DO-214BA_MCH-L,1,LSM115JE3/TR13,C3757764
"D1, D2, D3, D4",603,4,RED,C3030991
D5,603,1,BLUE,C5197644
D6,603,1,GREEN,C5252984
L1,1008,1,3.3uH,C337916
Q2,SOT-23-3,1,DMP3099L,C155244
"R10, R20",603,2,5,C227988
"R11, R5",603,2,10k,C98220
R17,805,1,120,C114245
R2,603,1,68k,C114633
R3,603,1,750,C114635
R4,603,1,270,C137754
R7,603,1,150,C114608
R8,603,1,65,C273751
U1,TSOT-23-6,1,AP62150Z6-7,C3194237
U10,TSSOP-38_4.4x9.7mm_P0.5mm,1,ADS8688,C527390
U2,SC-74A-5_1.55x2.9mm_P0.95mm,1,LDK320AM50R,C2969843
U3,SOT-223,1,LDL1117S33R,C435835
U4,10LGA_2X2X0p75_BOS,1,BMP390,C2684802
U5,ESP32-WROOM-32UE,1,ESP32-WROOM-32UE,C701346
U6,BMI088,1,BMI088,C194919
U7,SOIC-8_5.275x5.275mm_P1.27mm,1,W25Q16JVSSIQ,C82317
U8,SOIC-8_3.9x4.9mm_P1.27mm,1,MAX485CSA+T,C9945
U9,SOT-23-5,1,MIC5504-3.3YM5,C88419
